Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
"24,666.00",4.54,"36,077.01",0.89,131.21,"11,922.97","54,088.47",388.43,"36,468.43",1281,223285676
"22,946.00",4.57,"36,118.78",42.28,143.99,"11,839.06","54,151.10",188.94,"36,274.17",1404,226289470
"21,500.00",4.62,"36,321.44",0.94,158.02,"11,786.43","54,454.94",455.85,"36,780.68",1765,229318262
"22,000.00",4.71,"38,124.01",1.19,181.46,"12,147.64","57,157.44","1,403.33","37,695.09",2064,232374245
"22,700.00",4.89,"40,187.46",1.84,184.53,"12,309.16","60,251.07",288.36,"41,305.22",2418,235469762
"23,600.00",5,"42,954.06",2.4,181.64,"12,883.58","64,398.89",248.45,"42,696.21",2465,238620563
"23,600.00",5.02,"44,335.08",0.34,181.52,"13,253.45","66,469.39",685.77,"43,907.99",3178,241834215
"23,500.00",4.98,"43,859.85",0.8,197.96,"13,203.64","65,756.90","2,745.28","44,803.54",3689,245116206
"23,500.00",5.14,"46,060.44",0.82,205.44,"13,445.52","69,056.13","1,802.05","46,361.47",3745,248452413
"23,500.00",5.15,"47,543.57",1.27,204.59,"13,835.25","71,279.71",472.24,"46,874.91",3684,251806402
,5.13,,,,"13,797.31","70,846.46",,,3534,255129004
"8,837.00",1.6,"9,936.09",,12.92,"9,297.68","14,896.69",347.5,"11,317.33",134,65531633
"9,133.00",1.57,"10,094.17",,19.94,"9,629.71","15,133.68",681,"10,624.04",94,66625705
"9,131.00",1.81,"11,914.42",,19.93,"9,878.30","17,862.70",396.26,"10,560.97",120,67637530
"9,131.00",1.73,"11,292.02",,14.14,"9,792.19","16,929.57",94.4,"11,807.14",182,68742233
"9,144.00",1.85,"12,768.13",,23.56,"10,329.87","19,142.62",281.92,"11,303.53",278,70066301
"9,138.00",1.78,"11,758.09",,26.63,"9,882.05","17,628.32",417.21,"12,676.39",141,71652381
"9,131.00",1.94,"12,974.14",0.11,37.34,"10,027.65","19,451.49",104.25,"12,374.59",131,73463584
"9,125.00",1.94,"13,061.30",0.02,39.04,"10,101.81","19,582.16",317.86,"12,920.60",176,75450032
"9,118.00",1.88,"12,746.02",,44.68,"10,159.85","19,109.47",37.46,"13,798.80",201,77529045
"9,121.00",2.02,"13,887.61",,45.68,"10,308.93","20,821.01",548.09,"13,290.60",274,79639491
"9,109.00",1.95,"13,637.40",0,43.92,"10,460.92","20,445.87",78.54,"13,880.75",260,81767515
"9,104.00",2.01,"14,223.54",19.99,50.67,"10,585.74","21,324.64",263.67,"14,217.90",232,83932127
"9,089.00",2.23,"14,514.59",,59.79,"9,738.46","21,761.01",317.35,"14,548.53",237,86142495
"9,185.00",2.15,"14,629.62",,63.34,"10,223.44","21,933.46",166.51,"14,781.20",262,88416521
"9,152.00",2.17,"15,045.04",,59.08,"10,398.17","22,556.29",677.32,"14,824.77",263,90764183
"9,161.00",2.18,"15,414.39",,67.3,"10,609.15","23,110.03",52.98,"16,357.96",268,93187603
"9,235.00",2.24,"15,421.45",,76.43,"10,322.19","23,120.62",259.68,"16,898.56",288,95671163
"9,537.00",2.28,"15,552.08",,81.42,"10,224.23","23,316.46",673.93,"16,765.73",303,98186350
"9,553.00",2.56,"17,865.25",0,94.94,"10,478.19","26,784.48",62.7,"17,023.46",325,100695497
"9,456.00",2.57,"17,860.86",,98.73,"10,435.34","26,777.90",380.06,"18,681.27",329,103171956
"9,385.00",2.66,"18,170.41",,107.02,"10,244.50","27,242.00",15.8,"19,172.63",332,105599127
"8,609.00",2.69,"18,257.79",,116.01,"10,178.42","27,373.00",17.72,"19,123.48",324,107983704
"8,506.00",2.72,"17,960.98",0.02,111.17,"9,905.60","26,928.00",20.86,"18,957.51",333,110350639
"8,408.00",2.53,"16,757.71",0.2,124.81,"9,919.30","25,124.00",62.13,"19,231.31",354,112737683
"8,404.00",2.65,"17,608.13",0.06,142.19,"9,951.70","26,399.00",984.32,"19,947.74",383,115169930
"8,357.00",2.76,"18,797.39",,147.25,"10,200.00","28,182.00","1,030.50","20,357.98",394,117649932
"8,390.00",2.74,"18,777.38",0.06,132.21,"10,263.00","28,152.00",178.87,"20,180.97",403,120160564
"8,454.00",2.94,"19,816.57",0.1,138.46,"10,119.84","29,710.00","1,123.18","21,216.37",407,122682815
"8,436.00",3.21,"22,964.81",0.17,161.89,"10,712.96","34,430.00","2,215.32","23,017.58",415,125189651
"8,350.00",3.48,"25,097.54",0.7,158.11,"10,801.21","37,627.50",452.12,"24,421.28",412,127657854
"8,303.00",3.4,"24,191.42",1.5,174.59,"10,661.00","36,269.00",152.13,"25,948.97",406,130088702
"8,253.00",3.49,"25,074.53",0.56,188.64,"10,771.00","37,593.00",943.36,"26,416.13",420,132478086
"8,228.00",3.58,"25,587.07",0.35,160.27,"10,725.04","38,361.42","1,250.71","27,221.54",454,134791603
"8,143.00",3.54,"24,169.40",0.36,170.67,"10,248.10","36,235.98",991.44,"27,239.75",486,136986432
"7,911.00",3.78,"26,543.68",4.51,197.75,"10,524.07","39,795.62",705.14,"27,084.57",495,139035505
"7,880.00",3.85,"27,195.59",16.11,193.19,"10,579.00","40,773.00",577.06,"27,672.99",523,140921167
"7,816.00",4.08,"28,801.73",18.55,184.41,"10,575.00","43,181.00",615.84,"28,847.96",585,142660376
"7,803.00",4.14,"31,176.91",8.46,200.06,"11,279.15","46,742.00",838.71,"29,044.67",656,144304167
"7,796.00",4.24,"32,112.05",4.96,160.96,"11,353.53","48,144.00",40.24,"29,225.69",728,145924797
"7,791.00",4.34,"33,390.82",3.86,183.19,"11,529.00","50,061.20",679.6,"29,558.39",808,147575430
"7,678.00",4.39,"33,768.21",1.14,251.84,"11,528.00","50,627.00","1,310.87","29,856.70",857,149273778
"7,670.00",4.42,"33,681.50",2.83,278.83,"11,423.00","50,497.00",44.84,"30,163.50",916,151007807
